geom,oid,longitude,latitude,providers,species,datasets,date_min,date_max,num_records,num_animals,num_species,csquare,geom_wkt
0103000020E61000000100000005000000000000000000594000000000000028C0000000000040594000000000000028C000000000004059400000000000002AC000000000000059400000000000002AC0000000000000594000000000000028C0,21460120,101,-12,CSIRO,Rhincodon typus,1296,05/09/2018,17/10/2018,69,1,1,3110:120,"POLYGON((100 -12,101 -12,101 -13,100 -13,100 -12))"
0103000020E61000000100000005000000000000000000594000000000000026C0000000000040594000000000000026C0000000000040594000000000000028C0000000000000594000000000000028C0000000000000594000000000000026C0,21460105,100,-11,CSIRO,Rhincodon typus,1296,10/10/2018,16/10/2018,3,1,1,3110:110,"POLYGON((100 -11,101 -11,101 -12,100 -12,100 -11))"
0103000020E61000000100000005000000000000000000594000000000000020C0000000000040594000000000000020C0000000000040594000000000000022C0000000000000594000000000000022C0000000000000594000000000000020C0,21459977,101,-8,CSIRO,Rhincodon typus,1296,09/10/2018,20/10/2018,193,1,1,3010:380,"POLYGON((100 -8,101 -8,101 -9,100 -9,100 -8))"
0103000020E6100000010000000500000000000000004059400000000000002CC000000000008059400000000000002CC000000000008059400000000000002EC000000000004059400000000000002EC000000000004059400000000000002CC0,21460148,101,-15,CSIRO,Rhincodon typus,1296,30/08/2018,30/08/2018,5,1,1,3110:141,"POLYGON((101 -14,102 -14,102 -15,101 -15,101 -14))"
0103000020E6100000010000000500000000000000004059400000000000002AC000000000008059400000000000002AC000000000008059400000000000002CC000000000004059400000000000002CC000000000004059400000000000002AC0,21460138,102,-13,CSIRO,Rhincodon typus,1296,26/08/2018,07/09/2018,11,1,1,3110:131,"POLYGON((101 -13,102 -13,102 -14,101 -14,101 -13))"
0103000020E61000000100000005000000000000000040594000000000000028C0000000000080594000000000000028C000000000008059400000000000002AC000000000004059400000000000002AC0000000000040594000000000000028C0,21460122,101,-12,CSIRO,Rhincodon typus,1296,07/09/2018,17/10/2018,3,1,1,3110:121,"POLYGON((101 -12,102 -12,102 -13,101 -13,101 -12))"
0103000020E61000000100000005000000000000000040594000000000000020C0000000000080594000000000000020C0000000000080594000000000000022C0000000000040594000000000000022C0000000000040594000000000000020C0,21459979,101,-8,CSIRO,Rhincodon typus,1296,08/10/2018,09/10/2018,23,1,1,3010:381,"POLYGON((101 -8,102 -8,102 -9,101 -9,101 -8))"
0103000020E6100000010000000500000000000000008059400000000000002AC00000000000C059400000000000002AC00000000000C059400000000000002CC000000000008059400000000000002CC000000000008059400000000000002AC0,21460144,103,-13,CSIRO,Rhincodon typus,1296,21/08/2018,26/08/2018,26,1,1,3110:132,"POLYGON((102 -13,103 -13,103 -14,102 -14,102 -13))"
0103000020E61000000100000005000000000000000080594000000000000028C00000000000C0594000000000000028C00000000000C059400000000000002AC000000000008059400000000000002AC0000000000080594000000000000028C0,21460126,103,-13,CSIRO,Rhincodon typus,1296,19/08/2018,22/08/2018,6,1,1,3110:122,"POLYGON((102 -12,103 -12,103 -13,102 -13,102 -12))"
0103000020E6100000010000000500000000000000008059400000000000001CC00000000000C059400000000000001CC00000000000C0594000000000000020C0000000000080594000000000000020C000000000008059400000000000001CC0,21459964,103,-7,CSIRO,Rhincodon typus,1296,26/09/2018,29/09/2018,31,1,1,3010:372,"POLYGON((102 -7,103 -7,103 -8,102 -8,102 -7))"
0103000020E610000001000000050000000000000000C0594000000000000028C00000000000005A4000000000000028C00000000000005A400000000000002AC00000000000C059400000000000002AC00000000000C0594000000000000028C0,21460127,103,-13,CSIRO,Rhincodon typus,1296,19/08/2018,19/08/2018,4,1,1,3110:123,"POLYGON((103 -12,104 -12,104 -13,103 -13,103 -12))"
0103000020E610000001000000050000000000000000C059400000000000001CC00000000000005A400000000000001CC00000000000005A4000000000000020C00000000000C0594000000000000020C00000000000C059400000000000001CC0,21459965,103,-7,CSIRO,Rhincodon typus,1296,25/09/2018,25/09/2018,9,1,1,3010:373,"POLYGON((103 -7,104 -7,104 -8,103 -8,103 -7))"
0103000020E610000001000000050000000000000000005A4000000000000033C00000000000405A4000000000000033C00000000000405A4000000000000034C00000000000005A4000000000000034C00000000000005A4000000000000033C0,21460157,104,-20,CSIRO,Rhincodon typus,1296,26/04/2019,26/04/2019,1,1,1,3110:394,"POLYGON((104 -19,105 -19,105 -20,104 -20,104 -19))"
